candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason
optimized-030,cold_arrival,optimized,1800.0,15.0,2500.0,-3.6561967376253497,0.16638885582893473,28.65619673762535,0.18086759147640027,1.3907894736842177,1575.0,26.25,52.53104317124597,0.8,20.20608611301723,0.00014396685637022903,charge_complete,optimized_preheat,6.411937647499144e-11,True,True,True,True,True,True,ok
optimized-031,cold_arrival,optimized,1800.0,15.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-032,cold_arrival,optimized,1800.0,15.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-033,cold_arrival,optimized,1800.0,20.0,2500.0,-3.6561967376253497,0.16638885582893473,28.65619673762535,0.18086759147640027,1.3907894736842177,1575.0,26.25,52.53104317124597,0.8,20.20608611301723,0.00014396685637022903,charge_complete,optimized_preheat,6.411937647499144e-11,True,True,True,True,True,True,ok
optimized-034,cold_arrival,optimized,1800.0,20.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-035,cold_arrival,optimized,1800.0,20.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-036,cold_arrival,optimized,1800.0,25.0,2500.0,-3.6561967376253497,0.16638885582893473,28.65619673762535,0.18086759147640027,1.3907894736842177,1575.0,26.25,52.53104317124597,0.8,20.20608611301723,0.00014396685637022903,charge_complete,optimized_preheat,6.411937647499144e-11,True,True,True,True,True,True,ok
optimized-037,cold_arrival,optimized,1800.0,25.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-038,cold_arrival,optimized,1800.0,25.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-039,cold_arrival,optimized,1800.0,30.0,2500.0,-3.6561967376253497,0.16638885582893473,28.65619673762535,0.18086759147640027,1.3907894736842177,1575.0,26.25,52.53104317124597,0.8,20.20608611301723,0.00014396685637022903,charge_complete,optimized_preheat,6.411937647499144e-11,True,True,True,True,True,True,ok
optimized-040,cold_arrival,optimized,1800.0,30.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-041,cold_arrival,optimized,1800.0,30.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-042,cold_arrival,optimized,1800.0,35.0,2500.0,-3.6561967376253497,0.16638885582893473,28.65619673762535,0.18086759147640027,1.3907894736842177,1575.0,26.25,52.53104317124597,0.8,20.20608611301723,0.00014396685637022903,charge_complete,optimized_preheat,6.411937647499144e-11,True,True,True,True,True,True,ok
optimized-043,cold_arrival,optimized,1800.0,35.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-044,cold_arrival,optimized,1800.0,35.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-045,cold_arrival,optimized,2400.0,15.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-046,cold_arrival,optimized,2400.0,15.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-047,cold_arrival,optimized,2400.0,15.0,5000.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,optimized_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-048,cold_arrival,optimized,2400.0,20.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-049,cold_arrival,optimized,2400.0,20.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-050,cold_arrival,optimized,2400.0,20.0,5000.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,optimized_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-051,cold_arrival,optimized,2400.0,25.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-052,cold_arrival,optimized,2400.0,25.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-053,cold_arrival,optimized,2400.0,25.0,5000.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,optimized_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-054,cold_arrival,optimized,2400.0,30.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-055,cold_arrival,optimized,2400.0,30.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-056,cold_arrival,optimized,2400.0,30.0,5000.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,optimized_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-057,cold_arrival,optimized,2400.0,35.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-058,cold_arrival,optimized,2400.0,35.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-059,cold_arrival,optimized,2400.0,35.0,5000.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,optimized_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
baseline-none,mild_arrival,none,0.0,25.948358000656484,0.0,25.948358000656484,25.418832940475344,0.9483580006564836,0.24008359371790008,0.0,840.0,14.0,46.76721099292223,0.8,37.110364189489076,0.00036547551146047915,charge_complete,strategy_none,1.1823431123048067e-10,True,True,True,True,True,True,ok
baseline-rule,mild_arrival,rule,0.0,25.948358000656484,0.0,25.948358000656484,25.418832940475344,0.9483580006564836,0.24008359371790008,0.0,840.0,14.0,46.76721099292223,0.8,37.110364189489076,0.00036547551146047915,charge_complete,temperature_in_benefit_band,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-000,mild_arrival,optimized,600.0,15.0,2500.0,23.966053593242595,18.785336864352207,1.033946406757405,0.23767850517450576,0.16388888888888897,845.0,14.083333333333334,46.97259671960994,0.8,36.161364304094896,0.0003509811116376509,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-001,mild_arrival,optimized,600.0,15.0,3750.0,23.014427053709547,16.0948243024618,1.9855729462904534,0.23665753445975413,0.23333333333333334,845.0,14.083333333333334,47.04910603907305,0.8,35.69037755723939,0.0003439444843494423,charge_complete,optimized_precool,1.2005330063402653e-10,True,True,True,True,True,True,ok
optimized-002,mild_arrival,optimized,600.0,15.0,5000.0,22.427286262572284,15.159119756450885,2.5727137374277156,0.23563608495174163,0.30277777777777815,845.0,14.083333333333334,47.133074877317746,0.8,35.45278238320985,0.0003406615515878541,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-003,mild_arrival,optimized,600.0,20.0,2500.0,23.966053593242595,18.785336864352207,1.033946406757405,0.23767850517450576,0.16388888888888897,845.0,14.083333333333334,46.97259671960994,0.8,36.161364304094896,0.0003509811116376509,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-004,mild_arrival,optimized,600.0,20.0,3750.0,23.014427053709547,16.0948243024618,1.9855729462904534,0.23665753445975413,0.23333333333333334,845.0,14.083333333333334,47.04910603907305,0.8,35.69037755723939,0.0003439444843494423,charge_complete,optimized_precool,1.2005330063402653e-10,True,True,True,True,True,True,ok
