candidate_id,scenario,strategy,feasible,constraint_failure_reason,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok
optimized-008,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-009,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-010,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-011,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-012,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-013,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-014,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-015,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-016,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-017,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-018,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-019,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-020,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-021,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-022,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-023,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-024,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-025,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-026,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-027,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-028,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-029,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-030,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-031,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-032,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-033,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-034,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-035,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-036,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-037,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-038,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-039,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-040,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-041,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-042,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-043,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-044,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-045,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-046,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-047,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-048,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-049,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-050,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-051,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-052,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-053,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-054,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-055,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-056,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-057,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-058,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-059,hot_arrival,optimized,True,ok,True,True,True,True,True
