architecture,scenario,pump_scale,radiator_ua_scale,feasible,infeasibility_reason,max_battery_flow_kg_s,max_powertrain_flow_kg_s,battery_design_flow_capacity_kg_s,powertrain_design_flow_capacity_kg_s,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct,pump_energy_kwh,mean_battery_flow_kg_s,mean_powertrain_flow_kg_s,max_battery_pressure_drop_kpa,max_powertrain_pressure_drop_kpa,hydraulic_solver_failures,liquid_hx_energy_kwh
coupled_dual_loop,hill_high_load,0.6,1.25,True,ok,0.0037300333409209445,0.024126555523406236,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081870049735,0.010572573907952892,6.072081870049735,59.53308055016856,125.98037814757032,29.208001372293584,40.88474133555711,0.7302963033504126,0.0,1.5244581945393495e-13,2.6120247325488207e-12,1.0937253105570778e-06,0.003022638215567037,0.017829454236747058,0.2572322007457767,0.23014514081006565,0.0,0.006940981620352892
coupled_dual_loop,hill_high_load,0.8,0.75,True,ok,0.006477362849075181,0.03301747519924138,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083456090235,0.010574159948450524,6.072083456090235,59.53309610033386,125.98034524124037,29.20344384611813,40.17092998473113,0.7302963033504126,0.0,1.7420591684793008e-13,2.433086185052886e-12,2.679765808189738e-06,0.005292798144607889,0.02457193362336531,0.45007281049676984,0.38592374569760257,0.0,0.01132846254784892
coupled_dual_loop,hill_high_load,0.8,1.0,True,ok,0.0064773138628039205,0.03301692619890537,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083456178263,0.01057416003648138,6.072083456178263,59.533096101196925,125.98034523941399,29.203422684225853,40.16377782290178,0.7302963033504126,0.0,1.6784014056707956e-13,2.4298853721036873e-12,2.679853839044344e-06,0.005292499919986881,0.024570570523738428,0.4500730768726272,0.38593896296786057,0.0,0.011277666249106212
coupled_dual_loop,hill_high_load,0.8,1.25,True,ok,0.006477304020951377,0.03301678389989762,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083456202013,0.010574160060231406,6.072083456202013,59.533096101429784,125.98034523892123,29.20341704236027,40.16184926016187,0.7302963033504126,0.0,1.5589910924699735e-13,2.6322767542316136e-12,2.679877589074213e-06,0.005292419900515262,0.024570203548151946,0.45007313039007074,0.3859429071909277,0.0,0.01126398749288677
coupled_dual_loop,hill_high_load,1.0,0.75,True,ok,0.009835671197296617,0.04192247687934426,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086168834485,0.010576872692703502,6.072086168834485,59.53312269714619,125.98028895869633,29.200620291249795,39.507499984663326,0.7302963033504126,0.0,1.6692472561486228e-13,2.3561442557432613e-12,5.392510061166391e-06,0.008103248973849947,0.0313312003326539,0.6901492619864441,0.580285054368786,0.0,0.015974471849664277
coupled_dual_loop,hill_high_load,1.0,1.0,True,ok,0.009835318243288772,0.04192091442401086,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086169116276,0.01057687297449269,6.072086169116276,59.53312269990898,125.98028895284989,29.200507264122372,39.486580477832184,0.7302963033504126,0.0,1.4649600171053198e-13,2.303763046946197e-12,5.39279185035811e-06,0.008101790561280176,0.03132786788211747,0.6901521763130504,0.5803400426753663,0.0,0.015796897312689878
coupled_dual_loop,hill_high_load,1.0,1.25,True,ok,0.009835218316691216,0.04192037409923081,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086169217135,0.010576873075354098,6.072086169217135,59.53312270089784,125.98028895075733,29.200467450262767,39.479117482296104,0.7302963033504126,0.0,1.671743637782279e-13,2.3695712495659704e-12,5.392892711762991e-06,0.008101273340169841,0.031326681332999914,0.6901530013838264,0.580359058130632,0.0,0.01573368097202864
coupled_dual_loop,hill_high_load,1.2,0.75,True,ok,0.013708529852509673,0.050835018255886114,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090334619648,0.010581038477866924,6.072090334619648,59.53316354014353,125.98020252934667,29.20015655220166,38.89903108764315,0.7302963033504126,0.0,1.6155739403873928e-13,2.2820052402515076e-12,9.558295224590058e-06,0.011380071161265697,0.03810016380702653,0.9734075602935264,0.8131924634510175,0.0,0.02066218279100307
coupled_dual_loop,hill_high_load,1.2,1.0,True,ok,0.0137072153299483,0.05083204889847665,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090335125419,0.01058103898363769,6.072090335125419,59.533163545102305,125.98020251885325,29.199804810781853,38.85760135788147,0.7302963033504126,0.0,1.613909686902062e-13,2.586589512106798e-12,9.558800995355839e-06,0.01137589288622676,0.03809441153162288,0.9734226876136459,0.8133191809721434,0.0,0.020258066923620484
coupled_dual_loop,hill_high_load,1.2,1.25,True,ok,0.013706744387880528,0.0508308024424102,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090335343231,0.010581039201446218,6.072090335343231,59.53316354723782,125.98020251433422,29.199656541416207,38.83992322902696,0.7302963033504126,0.0,1.5839531265315168e-13,2.2959515305031484e-12,9.559018803883944e-06,0.011374120977573043,0.03809196103951931,0.9734281067883837,0.8133723713603503,0.0,0.020086095007590354
