time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason
575.0,0.3147744347573148,24.696470801230063,24.275022534124744,13949.999999999996,220000.0,13949.999999999996,0.0,0.0,13949.999999999982,-1.4551915228366852e-11,temperature_in_benefit_band
580.0,0.31449227857897377,24.701245878454184,24.279260668482937,14201.811063695337,220000.0,14201.811063695337,0.0,0.0,14201.811063695359,2.1827872842550278e-11,temperature_in_benefit_band
585.0,0.3142048255161302,24.70617387956343,24.28350173460884,14465.654115187639,220000.0,14465.654115187639,0.0,0.0,14465.65411518769,5.093170329928398e-11,temperature_in_benefit_band
590.0,0.3139118901536188,24.711260521774236,24.28774872694418,14738.63843479205,220000.0,14738.63843479205,0.0,0.0,14738.638434792007,-4.3655745685100555e-11,temperature_in_benefit_band
595.0,0.3136133467856229,24.716509830727997,24.292004688870094,15017.773149177332,220000.0,15017.773149177332,0.0,0.0,15017.7731491774,6.730260793119669e-11,temperature_in_benefit_band
600.0,0.3133091308483605,24.7219240619971,24.2962726778067,15299.999999999998,220000.0,15299.999999999998,0.0,0.0,15299.999999999929,-6.912159733474255e-11,temperature_in_benefit_band
605.0,0.3129992396874573,24.72750363957705,24.300555729505078,15582.226850822664,220000.0,15582.226850822664,0.0,0.0,15582.226850822637,-2.7284841053187847e-11,temperature_in_benefit_band
610.0,0.31268373264921506,24.733247113665744,24.304856821889008,15861.361565207952,220000.0,15861.361565207952,0.0,0.0,15861.361565208004,5.275069270282984e-11,temperature_in_benefit_band
615.0,0.31236273049228563,24.739151139858414,24.309178838842115,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812428,7.09405867382884e-11,temperature_in_benefit_band
620.0,0.31203641412371286,24.7452104816182,24.313524534369837,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.188936304636,-2.546585164964199e-11,temperature_in_benefit_band
625.0,0.31170502267081707,24.75141803752149,24.317896497593598,16650.0,220000.0,16650.0,0.0,0.0,16650.000000000022,2.1827872842550278e-11,temperature_in_benefit_band
