time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
825.0,0.2986739011805914,-13.79847800504093,-14.173465490789935,12600.0,220000.0,12600.0,0.0,0.0,12599.999999999975,-2.546585164964199e-11,strategy_none,6.664243720825807e-09,1.3644928707337626e-06
830.0,0.2984210271314449,-13.793840579108695,-14.167488304644552,12614.79088250566,220000.0,12614.79088250566,0.0,0.0,12614.790882505677,1.6370904631912708e-11,strategy_none,6.67487176575223e-09,1.3711677424995148e-06
835.0,0.2981672426712717,-13.789165095133043,-14.16154892430949,12659.001478018723,220000.0,12659.001478018723,0.0,0.0,12659.001478018765,4.18367562815547e-11,strategy_none,6.703331785468399e-09,1.3778710742849832e-06
840.0,0.29791195949682475,-13.784431476424311,-14.15564576286539,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.14740600307,-1.4551915228366852e-11,strategy_none,6.749405746111703e-09,1.384620480031095e-06
845.0,0.29765460520254805,-13.779620111643753,-14.149776866520764,12833.427264364977,220000.0,12833.427264364977,0.0,0.0,12833.427264364982,5.4569682106375694e-12,strategy_none,6.812716885949169e-09,1.391433196917044e-06
850.0,0.29739462945811984,-13.77471200668035,-14.143939931932264,12961.731409782013,220000.0,12961.731409782013,0.0,0.0,12961.731409781984,-2.9103830456733704e-11,strategy_none,6.892730399205148e-09,1.3983259273162492e-06
855.0,0.297131509960086,-13.769688940900464,-14.138132326184193,13115.654115187643,220000.0,13115.654115187643,0.0,0.0,13115.654115187646,3.637978807091713e-12,strategy_none,6.988754570558732e-09,1.405314681886808e-06
860.0,0.29686475809584145,-13.764533628300576,-14.1323511094566,13293.508971211033,220000.0,13293.508971211033,0.0,0.0,13293.508971211078,4.547473508864641e-11,strategy_none,7.099942512376799e-09,1.4124146243991847e-06
865.0,0.29659392426057585,-13.759229883478802,-14.126593060421323,13493.347362831088,220000.0,13493.347362831088,0.0,0.0,13493.34736283106,-2.7284841053187847e-11,strategy_none,7.2252946949881745e-09,1.419639919094173e-06
870.0,0.2963186027706944,-13.753762791653557,-14.120854704402749,13712.979818810321,220000.0,13712.979818810321,0.0,0.0,13712.97981881033,9.094947017729282e-12,strategy_none,7.363662491670996e-09,1.4270035815858438e-06
