time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
395.0,0.3727962434390386,43.5690261019233,35.32631903886895,17766.57273563502,218317.3421337558,17766.57273563502,-4597.973598732618,1682.657866244206,19449.23060187913,-9.617906471248716e-11,hot_arrival_precool,8.113438721690087e-08,5.8174709585175275e-06
400.0,0.3724165389870173,43.53746533425725,35.257478554892515,17638.268590217984,218315.40776228247,17638.268590217984,-4603.776713152548,1684.592237717516,19322.860827935554,5.434230843093246e-11,hot_arrival_precool,8.043030598006692e-08,5.897901264497594e-06
405.0,0.372039814914694,43.5056287383362,35.18920760856263,17484.34588481236,218313.48959766494,17484.34588481236,-4609.531207005156,1686.510402335052,19170.856287147326,-8.526512829121202e-11,hot_arrival_precool,7.959948357694067e-08,5.977500748074534e-06
410.0,0.37166654544699007,43.473506531583226,35.121491025445636,17306.49102878897,218311.5890525876,17306.49102878897,-4615.23284223719,1688.4109474123968,18994.90197620123,-1.3710632629226893e-10,hot_arrival_precool,7.865185668896481e-08,6.0561526047634996e-06
415.0,0.37129716623099324,43.441090174089354,35.05431397360903,17106.652637168918,218309.70743622092,17106.652637168918,-4620.877691337208,1690.2925637790693,18796.945200947943,-4.433786671143025e-11,hot_arrival_precool,7.759870545298572e-08,6.133751310216485e-06
420.0,0.3709320695508175,43.40837250733314,34.987661961477606,16887.020181189677,218307.84593413226,16887.020181189677,-4626.4621976032195,1692.1540658677397,18579.17424705735,-6.480149750132114e-11,hot_arrival_precool,7.645247047142353e-08,6.2102037806879085e-06
425.0,0.3705716000247052,43.375347871254,34.921520835633785,16650.000000000004,218306.00559006465,16650.000000000004,-4631.983229805994,1693.9944099353313,18343.99440993531,-2.6147972675971687e-11,hot_arrival_precool,7.522655664404194e-08,6.285430337331951e-06
430.0,0.3702160508315995,43.34201219854187,34.85587677846243,16398.18893630466,218304.18728981857,16398.18893630466,-4637.43813054427,1695.8127101814234,18094.001646486093,8.185452315956354e-12,hot_arrival_precool,7.393512866807453e-08,6.359365466000025e-06
435.0,0.3698656605082714,43.308363085491884,34.79071630554925,16134.34588481236,218302.39174742188,16134.34588481236,-4642.824757734351,1697.608252578117,17831.954137390418,-5.843503458891064e-11,hot_arrival_precool,7.259290300890417e-08,6.431958369008929e-06
440.0,0.36952061035151,43.27439983924956,34.7260262627521,15861.36156520795,218300.61949372338,15861.36156520795,-4648.141518829886,1699.3805062766287,17560.742071484565,-1.3642420526593924e-11,hot_arrival_precool,7.121494092479302e-08,6.503173309933722e-06
445.0,0.3691810224529543,43.240123501725066,34.66179382287577,15582.226850822668,218298.87086749237,15582.226850822668,-4653.387397522909,1701.1291325076363,17283.35598333022,-8.36735125631094e-11,hot_arrival_precool,6.981644675451762e-08,6.57298975668824e-06
450.0,0.3688469583869604,43.205536850870146,34.59800648189329,15300.0,218297.14600905695,15300.0,-4658.5619728291895,1702.853990943063,17002.8539909431,3.524291969370097e-11,hot_arrival_precool,6.841257517137619e-08,6.641402331859616e-06
455.0,0.3685184185645376,43.17064438037773,34.534652054669095,15017.773149177334,218295.4448564651,15017.773149177334,-4663.6654306046985,1704.5551435348996,16722.328292712245,1.2050804798491299e-11,hot_arrival_precool,6.701825050133786e-08,6.708420582360954e-06
460.0,0.3681953422589493,43.13545225917211,34.4717186701525,14738.638434792048,218293.7671441096,14738.638434792048,-4668.69856767121,1706.2328558904035,16444.87129068239,-6.252776074688882e-11,hot_arrival_precool,6.564800053119986e-08,6.774068582892154e-06
465.0,0.3678776083011426,43.099968272301304,34.409194766022395,14465.654115187643,218292.11240371867,14465.654115187643,-4673.66278884401,1707.8875962813365,16173.54171146898,1.5916157281026244e-12,hot_arrival_precool,6.43158065297601e-08,6.838384389421914e-06
470.0,0.3675650364358294,43.06420174501856,34.34706908277633,14201.811063695339,218290.47996758317,14201.811063695339,-4678.560097250465,1709.5200324168218,15911.331096112192,3.092281986027956e-11,hot_arrival_precool,6.303497050605141e-08,6.901419359927965e-06
475.0,0.36725738932187263,43.028163451947,34.28533065726854,13949.999999999998,218288.8689738657,13949.999999999998,-4683.393078402879,1711.131026134293,15661.131026134355,6.389200279954821e-11,hot_arrival_precool,6.181800006566701e-08,6.9632373599936325e-06
480.0,0.36695437515370866,42.99186551326211,34.22396881571232,13712.979818810323,218287.27837381948,13712.979818810323,-4688.164878541535,1712.7216261805115,15425.701444990727,-1.0732037480920553e-10,hot_arrival_precool,6.067651062698413e-08,7.023913870620616e-06
