time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_station_power_w,grid_power_w,charger_loss_w,dc_bus_power_w,auxiliary_power_w,accepted_battery_power_w,curtailed_station_power_w,battery_current_a,battery_heat_w,temperature_factor,soc_factor,limiting_reason,power_ledger_residual_w,incremental_aging_damage,cumulative_aging_damage
1470.0,0.46855596797622207,1.9668074182470368,9.591474551669753,220000.0,91743.65724772184,4587.182862386093,87156.47438533575,5943.1578947368425,81213.31649059891,128256.34275227816,-209.72185042966584,2314.1347519790625,0.3885804616775068,1.0,temperature,0.0,1.3609578086211847e-07,1.5226403570049325e-05
1475.0,0.4700430973004886,2.035975275805922,9.643896137694712,220000.0,92448.51183934,4622.42559196701,87826.086247373,5943.1578947368425,81882.92835263615,127551.48816066,-211.328903974721,2359.3836637746663,0.3917843461848617,1.0,temperature,0.0,1.3818178679048818e-07,1.5364585356839813e-05
1480.0,0.47154160904179093,2.1056631204473,9.696528492762397,220000.0,93158.63517694447,4657.931758847233,88500.70341809724,5943.1578947368425,82557.5455233604,126841.36482305553,-212.9464053429618,2405.2662652269564,0.3950121795376097,1.0,temperature,0.0,1.4030348785956433e-07,1.5504888844699377e-05
1485.0,0.47305157767261674,2.1758778576646867,9.749377302043763,220000.0,93874.097048596,4693.704852429801,89180.3921961662,5943.1578947368425,83237.23430142936,126125.902951404,-214.57448964366614,2451.7911870416488,0.39826427895420735,1.0,temperature,0.0,1.4246165778964207e-07,1.564735050248902e-05
1490.0,0.47457307863085557,2.246626502362268,9.80244826165134,220000.0,94594.9683506944,4729.74841753472,89865.21993315968,5943.1578947368425,83922.06203842284,125405.0316493056,-216.21329406551797,2498.967208152124,0.4015409666910187,1.0,temperature,0.0,1.4465709068104946e-07,1.5792007593170068e-05
1495.0,0.47610618833460516,2.3179161803427943,9.8557470805827,220000.0,95321.32110292303,4766.066055146162,90555.25504777687,5943.1578947368425,84612.09715304003,124678.67889707697,-217.862957901261,2546.8032579901724,0.40484257011023916,1.0,temperature,0.0,1.468906016212122e-07,1.593889819479128e-05
1500.0,0.4776509841971557,2.389754129827964,9.909279482650206,220000.0,96053.228463523,4802.661423176149,91250.56704034685,5943.1578947368425,85307.40914561001,123946.771536477,-219.5236225729716,2595.3084187817253,0.40816942174933035,1.0,temperature,0.0,1.4916302731210254e-07,1.6088061222103385e-05
1505.0,0.47920754464215615,2.462147703011388,9.96305120839801,220000.0,96790.76474490413,4839.538237245215,91951.22650765891,5943.1578947368425,86008.06861292207,123209.23525509587,-221.19543165796404,2644.491927867795,0.4115218593919716,1.0,temperature,0.0,1.514752267188352e-07,1.623953644882222e-05
1510.0,0.48077594911896765,2.535104367644241,10.01706801700723,220000.0,97534.00542958736,4876.700271479378,92657.30515810798,5943.1578947368425,86714.14726337114,122465.99457041264,-222.87853091531522,2694.3631800499,0.41490022614053146,1.0,temperature,0.0,1.5382808174016886e-07,1.639336453056239e-05
1515.0,0.4823562781182074,2.6086317086536877,10.071335688190215,220000.0,98283.02718648454,4914.151359324227,93368.87582716031,5943.1578947368425,87425.71793242347,121716.97281351546,-224.5730683130174,2744.9317299600107,0.41830487049006454,1.0,temperature,0.0,1.562224979017308e-07,1.654958702846412e-05
1520.0,0.48394861318748866,2.6827374297941926,10.125860024074823,220000.0,99037.90788751487,4951.8953943757515,94086.01249313912,5943.1578947368425,88142.85459840228,120962.09211248513,-226.27919405575625,2796.207294454496,0.4217361464038387,1.0,temperature,0.0,1.5865940507280606e-07,1.6708246433536927e-05
1525.0,0.48555303694736013,2.7574293553318006,10.18064685107956,220000.0,99798.72662455746,4989.936331227873,94808.79029332958,5943.1578947368425,88865.63239859274,120201.27337544254,-227.99706061331048,2848.199755031581,0.42519441339039565,1.0,temperature,0.0,1.6113975820755306e-07,1.686938619174448e-05
1530.0,0.48716963310744976,2.8327154317614864,10.235702021780469,220000.0,100565.56372674348,5028.278186337178,95537.2855404063,5943.1578947368425,89594.12764566946,119434.43627325652,-229.7268227495784,2900.919160271984,0.4286800365821507,1.0,temperature,0.0,1.6366453811156228e-07,1.7033050729856044e-05
1535.0,0.4887984864828173,2.9086037295576626,10.29103141677061,220000.0,101338.50077808829,5066.925038904417,96271.57573918387,5943.1578947368425,90328.41784444703,118661.49922191171,-231.4686375522294,2954.375728302155,0.432193386815536,1.0,temperature,0.0,1.6623475223470368e-07,1.719928548209075e-05
1540.0,0.49043968301051977,2.98510244495793,10.346640946512947,220000.0,102117.6206354624,5105.881031773126,97011.73960368928,5943.1578947368425,91068.58170895244,117882.3793645376,-233.2226644629772,3008.5798492794056,0.43573484071269086,1.0,temperature,0.0,1.6885143549123268e-07,1.7368136917581982e-05
1545.0,0.49209330976639426,3.062219901780158,10.402536553187474,220000.0,102903.00744690513,5145.150372345262,97757.85707455987,5943.1578947368425,91814.69917982303,117096.99255309487,-234.98906530847938,3063.542087898415,0.43930478076470336,1.0,temperature,0.0,1.715156511081886e-07,1.753965256869017e-05
1550.0,0.4937594549820629,3.139964553272962,10.458724212533358,220000.0,103694.74667027997,5184.737333514,98510.00933676597,5943.1578947368425,92566.85144202913,116305.25332972003,-236.76800433186116,3119.273185918342,0.44290359541640734,1.0,temperature,0.0,1.7422849150314662e-07,1.7713881060193317e-05
1555.0,0.4954382080621638,3.2183449839996543,10.515209935686887,220000.0,104492.92509227271,5224.646254613646,99268.27883765906,5943.1578947368425,93325.12094292222,115507.07490772729,-238.5596482248619,3175.7840647096637,0.44653167915273817,1.0,temperature,0.0,1.7699107919241944e-07,1.7890872139385738e-05
1560.0,0.49712965960181255,3.2973699117557222,10.571999771015989,220000.0,105297.63084773356,5264.881542386676,100032.74930534688,5943.1578947368425,94089.59141061004,114702.36915226644,-240.36416616060725,3233.085827820017,0.4501894325866505,1.0,temperature,0.0,1.7980456773087088e-07,1.807067670711661e-05
1565.0,0.49883390140429884,3.3770481895198903,10.62909980595206,220000.0,106108.9534393625,5305.447671968126,100803.50576739438,5943.1578947368425,94860.34787265754,113891.0465606375,-242.18172982700153,3291.1897635578607,0.45387726254860034,1.0,temperature,0.0,1.8267014268453044e-07,1.8253346849801142e-05
1570.0,0.5005510264990226,3.4573888074388046,10.686516168819846,220000.0,106926.98375774118,5346.34918788707,101580.63456985411,5943.1578947368425,95637.47667511727,113073.01624225882,-244.01251346074804,3350.1073475932594,0.4575955821775949,1.0,temperature,0.0,1.8558902263726247e-07,1.8438935872438406e-05
1575.0,0.5022811291596736,3.5384008948453727,10.744255030666073,220000.0,107751.81410170872,5387.590705085444,102364.22339662327,5943.1578947368425,96421.06550188643,112248.18589829128,-245.85669388198914,3409.850245574376,0.46134481101381086,1.0,temperature,0.0,1.8874957825588455e-07,1.862768545069429e-05
1580.0,0.5040243049226595,3.6200937223107728,10.802322607087556,220000.0,108583.53819908286,5429.176909954142,103154.36128912872,5943.1578947368425,97211.20339439188,111416.46180091714,-247.71445052956724,3470.430315758524,0.46512537509278407,1.0,temperature,0.0,1.9238004245901012e-07,1.8820065493153302e-05
1585.0,0.5057806506057859,3.7024767037301385,10.860725160059443,220000.0,109422.25122772755,5471.112561386384,103951.13866634117,5943.1578947368425,98007.98077160433,110577.74877227245,-249.5859654969098,3531.859611656634,0.4689377070411693,1.0,temperature,0.0,1.9609351561737346e-07,1.9016159008770674e-05
1590.0,0.5075502643271941,3.7855593984419116,10.919468999764295,220000.0,110268.04983696649,5513.402491848334,104754.64734511815,5943.1578947368425,98811.48945038131,109731.95016303351,-251.47142356853473,3594.1503846896303,0.47278224617407316,1.0,temperature,0.0,1.9989230931496701e-07,1.9216051318085642e-05
1595.0,0.5093332455245594,3.8693515133808276,10.978560486422616,220000.0,111121.03216934077,5556.051608467038,105564.98056087374,5943.1578947368425,99621.8226661369,108878.96783065923,-253.37101225717157,3657.315086855097,0.4766594385939559,1.0,temperature,0.0,2.0377881037288107e-07,1.9419830128458522e-05
1600.0,0.5111296949745552,3.9538629052644954,11.038006032125516,220000.0,111981.29788271364,5599.064894135692,106382.23298857795,5943.1578947368425,100439.07509384111,108018.70211728636,-255.28492184150434,3721.366373402885,0.4805697372911053,1.0,temperature,0.0,2.0775548361980482e-07,1.9627585612078327e-05
1605.0,0.512939714812587,4.039103582813508,11.097812102670103,220000.0,112848.94817271916,5642.44740863597,107206.50076408319,5943.1578947368425,101263.34286934635,107151.05182728084,-257.2133454045296,3786.3171055177568,0.4845136022456764,1.0,temperature,0.0,2.1182487477589232e-07,1.983941048685422e-05
1610.0,0.5147634085528011,4.125083709004992,11.157985219398226,220000.0,113724.08579555563,5686.2042897777865,108037.88150577784,5943.1578947368425,102094.723611041,106275.91420444437,-259.15647887252857,3852.180353007297,0.488491500531297,1.0,temperature,0.0,2.1598961345505444e-07,2.005540010030927e-05
1615.0,0.5166008811083709,4.211813603359498,11.218531961039155,220000.0,114606.81509112168,5730.340754556091,108876.47433656559,5943.1578947368425,102933.31644182875,105393.18490887832,-261.1145210546511,3918.9693969930586,0.4925039064202329,1.0,temperature,0.0,2.2025241629099902e-07,2.027565251660027e-05
1620.0,0.5184522388120668,4.299303744261092,11.279458965556785,220000.0,115497.2420064945,5774.862100324724,109722.37990616978,5943.1578947368425,103779.22201143294,104502.7579935055,-263.08767368310936,3986.697732602923,0.49655130149010984,1.0,temperature,0.0,2.246160901925752e-07,2.0500268606792845e-05
1625.0,0.5203175894371134,4.387564771310499,11.34077293200192,220000.0,116395.474119751,5819.773705987551,110575.70041376345,5943.1578947368425,104632.54251902661,103604.525880249,-265.07614145398236,4055.3790716626168,0.5006341747321843,1.0,temperature,0.0,2.290835357342791e-07,2.0729352142527124e-05
1630.0,0.522197042218337,4.476607487711108,11.402480622370193,220000.0,117301.6206641249,5865.081033206254,111436.53963091865,5943.1578947368425,105493.38173618181,102698.3793358751,-267.0801320686173,4125.027345383525,0.5047530226611566,1.0,temperature,0.0,2.3365775068801877e-07,2.0963009893215142e-05
1635.0,0.52409070787361,4.5664428626876274,11.464588863466135,220000.0,118215.79255250446,5910.789627625229,112305.00292487923,5943.1578947368425,106361.84503014239,101784.20744749554,-269.09985627563896,4195.656707044978,0.5089083494265184,1.0,temperature,0.0,2.3834183370258832e-07,2.1201351726917732e-05
1640.0,0.5259986986255942,4.657082033937148,11.527104548773934,220000.0,119138.1024022634,5956.905120113181,113181.19728215021,5943.1578947368425,107238.03938741337,100861.8975977366,-271.1355279135499,4267.281534667746,0.5131006669254226,1.0,temperature,0.0,2.431389881375656e-07,2.1444490715055297e-05
1645.0,0.5279211282237886,4.7485363101123355,11.590034640335366,220000.0,120068.664560425,6003.433228021255,114065.23133240374,5943.1578947368425,108122.0734376669,99931.335439575,-273.18736395392455,4339.916433676268,0.517330494917067,1.0,temperature,0.0,2.4805252605871887e-07,2.1692543241114017e-05
1650.0,0.5298581119668844,4.840817173336433,11.653386170635374,220000.0,121007.59512915704,6050.379756457856,114957.21537269918,5943.1578947368425,109014.05747796234,98992.40487084296,-275.25558454519194,4413.576239546614,0.5215983611385756,1.0,temperature,0.0,2.530858724023264e-07,2.1945629113516345e-05
1655.0,0.5318097667254336,4.933936281749727,11.717166244495784,220000.0,121955.011991591,6097.750599579551,115857.26139201145,5943.1578947368425,109914.10349727461,98044.988008409,-277.3404130569952,4488.276020436749,0.5259048014223668,1.0,temperature,0.0,2.582425693162016e-07,2.2203871682832548e-05
1660.0,0.5337762109648326,5.027905472087092,11.781382040977583,220000.0,122911.03483796754,6145.55174189838,116765.48309606916,5943.1578947368425,110822.32520133232,97088.96516203246,-279.442076125133,4564.031079796247,0.5302503598149872,1.0,temperature,0.0,2.635262806855926e-07,2.246739796351814e-05
1665.0,0.5357575647686268,5.122736762286168,11.846040815292195,220000.0,123875.78519209792,6193.789259604906,117681.99593249301,5943.1578947368425,111738.83803775617,96124.21480790208,-281.5608036970638,4640.856958951395,0.5346355886973976,1.0,temperature,0.0,2.6894079685252474e-07,2.2736338760370667e-05
1670.0,0.5377539498621384,5.2184423541257035,11.911149900722172,220000.0,124849.38643814166,6242.4693219070905,118606.91711623457,5943.1578947368425,112663.75922149773,95150.61356185834,-283.6968290779753,4718.7694396623665,0.5390610489066878,1.0,temperature,0.0,2.744900395376048e-07,2.3010828799908273e-05
1675.0,0.5397654896364239,5.315034635893533,11.97671671055169,220000.0,125831.96384769425,6291.598192384714,119540.36565530954,5943.1578947368425,113597.2077605727,94168.03615230575,-285.8503889774076,4797.784546648432,0.5435273098591995,1.0,temperature,0.0,2.801780669737295e-07,2.3291006866882003e-05
1680.0,0.5417923091725616,5.4125261850836255,12.04274874000722,220000.0,126823.64460717731,6341.182230358871,120482.46237681844,5943.1578947368425,114539.3044820816,93176.35539282269,-288.02172355641835,4877.918550076884,0.5480349496750315,1.0,temperature,0.0,2.860090792616378e-07,2.357701594614364e-05
1685.0,0.5438345352662766,5.510929771121555,12.10925356820873,220000.0,127824.55784552888,6391.227892276453,121433.32995325243,5943.1578947368425,115490.17205851559,92175.44215447112,-290.211076475287,4959.187968011653,0.5525845553039025,1.0,temperature,0.0,2.9198742395773203e-07,2.3869003370101373e-05
1690.0,0.5458922964529036,5.610258358117738,12.176238860131756,220000.0,128834.83466218499,6441.741733109258,122393.09292907573,5943.1578947368425,116449.9350343389,91165.16533781501,-292.41869494174273,5041.609568816765,0.5571767226523392,1.0,temperature,0.0,2.9811760190513115e-07,2.4167120972006505e-05
1695.0,0.5479657230326941,5.710525107647675,12.243712368580637,220000.0,129854.60815534588,6492.730407767303,123361.87774757858,5943.1578947368425,117418.71985284174,90145.39184465412,-294.6448297597063,5125.200373509932,0.5618120567121611,1.0,temperature,0.0,3.044042733194621e-07,2.4471525245325966e-05
1700.0,0.550054947096469,5.811743381558408,12.311681936173233,220000.0,130884.01345051969,6544.200672525985,124339.8127779937,5943.1578947368425,118396.65488325687,89115.98654948031,-296.88973537853497,5209.977658061165,0.5664911716902248,1.0,temperature,0.0,3.1085226414149554e-07,2.478237750946746e-05
1705.0,0.5521601025516217,5.913926744800315,12.380155497337368,220000.0,131923.18772933655,6596.159386466825,125327.02834286973,5943.1578947368425,119383.87044813289,88076.81227066345,-299.1536699427591,5295.958955631262,0.5712146911393923,0.9998778953411801,temperature,0.0,3.174665726693444e-07,2.5099844082136805e-05
1710.0,0.5542813251484748,6.017088968283318,12.449141080319249,220000.0,132972.27025862026,6648.613512931013,126323.65674568925,5943.1578947368425,120380.49885095241,87027.72974137974,-301.4368953422891,5383.162058744136,0.5759832480906814,0.9951997721075072,temperature,0.0,3.24252376483574e-07,2.542409645862038e-05
1715.0,0.5564187525069929,6.1212440317564925,12.51864680920409,220000.0,134031.40241971237,6701.570120985634,127329.83229872673,5943.1578947368425,121386.67440398989,85968.59758028763,-303.739677263087,5471.605021387621,0.5807974851865547,0.9904859441145003,temperature,0.0,3.312150396792911e-07,2.575531149829967e-05
1720.0,0.5585725241438549,6.226406126709999,12.58868090594913,220000.0,135100.7277380371,6755.036386901862,128345.69135113523,5943.1578947368425,122402.53345639839,84899.2722619629,-306.06228523828406,5561.30616103642,0.585658054815303,0.9857361055400158,temperature,0.0,3.383601204199946e-07,2.6093671618719666e-05
1725.0,0.56074278149989,6.332589659298174,12.659251692429203,220000.0,136180.39191289298,6809.019595644655,129371.37231724833,5943.1578947368425,123428.21442251149,83819.60808710702,-308.4049926997196,5652.284060590435,0.5905656192464666,0.980949946346989,temperature,0.0,3.4569337882868875e-07,2.6439364997548355e-05
1730.0,0.5629296679678781,6.439809253282544,12.730367592495039,220000.0,137270.54284746494,6863.527142373263,130407.01570509168,5943.1578947368425,124463.85781035484,82729.45715253506,-310.76807702989714,5744.557570222328,0.595520850767248,0.9761271522224667,temperature,0.0,3.5322078523264705e-07,2.6792585782781003e-05
1735.0,0.5651333289207197,6.54807975299343,12.802037134044353,220000.0,138371.3306790378,6918.566533951904,131452.7641450859,5943.1578947368425,125509.60625034907,81628.66932096219,-313.15181961432233,5838.145809126579,0.6005244318198519,0.9712674045158264,temperature,0.0,3.609485287789808e-07,2.7153534311559985e-05
1740.0,0.5673539117399752,6.657416226308725,12.874268951105861,220000.0,139482.9078094028,6974.145390470134,132508.76241893266,5943.1578947368425,126565.6045241958,80517.0921905972,-315.55650589421344,5933.0681671631155,0.6055770551396933,0.9663703801761785,temperature,1.4551915228366852e-11,3.688830264391101e-07,2.7522417337999095e-05
1745.0,0.5695915658447794,6.767833967648337,12.947071785936247,220000.0,140605.42893543988,7030.271446772007,133575.15748866787,5943.1578947368425,127631.99959393103,79394.57106456012,-317.98242541955784,6029.344306387573,0.6106794238944071,0.961435751688944,temperature,0.0,3.770309324211694e-07,2.7899448270420263e-05
1750.0,0.5718464427211303,6.879348500982671,13.020454491130113,220000.0,141739.0510798599,7086.952553993004,134652.0985258669,5943.1578947368425,128708.94063113004,78260.9489201401,-320.4298719024869,6126.994162459932,0.615832251823589,0.9564631870116013,temperature,1.4551915228366852e-11,3.853991480103647e-07,2.8284847418430626e-05
1755.0,0.5741186959515555,6.991975582853453,13.094426031742909,220000.0,142883.93362209245,7144.1966811046295,135739.73694098782,5943.1578947368425,129796.57904625096,77116.06637790755,-322.8991432709518,6226.037945923405,0.6210362633791913,0.9514523495085994,temperature,1.4551915228366852e-11,3.9399483185836196e-07,2.867884225028899e-05
1760.0,0.5764084812451594,7.105731205405062,13.168995487426782,220000.0,144040.23832929923,7202.0119164649805,136838.22641283425,5943.1578947368425,130895.0685180974,75959.76167070077,-325.3905417226652,6326.496143344373,0.6262921938664944,0.9464028978854322,temperature,1.4551915228366852e-11,4.028254107438995e-07,2.9081667661032887e-05
1765.0,0.5787159564680507,7.220631599424439,13.244172054579284,220000.0,145208.12938749566,7260.406469374779,137947.72291812088,5943.1578947368425,132004.56502338403,74791.87061250434,-327.9043737792851,6428.389518304346,0.6316007895855695,0.941314486121868,temperature,0.0,4.118985908279684e-07,2.9493566251860854e-05
1770.0,0.5810412816741527,7.336693237387506,13.319965048504816,220000.0,146387.7734327612,7319.388671638066,139068.38476112313,5943.1578947368425,133125.22686638628,73612.2265672388,-330.4409503408091,6531.739112234247,0.6369628079731404,0.9361867634043317,temperature,0.0,4.2122236942817894e-07,2.9914788621289032e-05
1775.0,0.5833846191363982,7.453932836509947,13.396383905588642,220000.0,147579.33958251544,7378.966979125777,140200.37260338967,5943.1578947368425,134257.2147086528,72420.66041748456,-333.00058674014525,6636.566245080932,0.6423790177447501,0.9310193740574384,temperature,0.0,4.30805047338194e-07,3.0345593668627226e-05
1780.0,0.5857461333783088,7.5723673618000165,13.473438185483307,220000.0,148782.99946683928,7439.149973341962,141343.8494934973,5943.1578947368425,135400.69159876046,71217.00053316072,-335.5836027978256,6742.8925157954,0.6478501990371308,0.9258119574746707,temperature,0.0,4.406552417195231e-07,3.078624891034675e-05
1785.0,0.5881259912059605,7.692014029110959,13.55113757330718,220000.0,149998.92725981725,7499.946362990857,142498.9808968264,5943.1578947368425,136555.82300208954,70001.07274018275,-338.1903228768282,6850.739802631979,0.6533771435506674,0.9205641480482025,temperature,0.0,4.507818995944219e-07,3.1237030809941166e-05
1790.0,0.5905243617403353,7.812890308190453,13.629491881854896,220000.0,151227.29971087628,7561.364985543827,143665.93472533245,5943.1578947368425,137722.7768305956,68772.70028912372,-340.82107593746724,6960.130263246931,0.6589606546918447,0.9152755750978654,temperature,0.0,4.6119431197016383e-07,3.169822512191133e-05
1795.0,0.5929414164500589,7.935013925724363,13.70851105381932,220000.0,152468.2961760924,7623.414808804635,144844.88136728777,5943.1578947368425,138901.72347255092,67531.70382390759,-343.4761955923095,7071.086334584608,0.6646015477155545,0.9099458627992549,temperature,0.0,4.7190212862660043e-07,3.2170127250537925e-05
1800.0,0.5953773291845258,8.058402868371928,13.78820516402469,220000.0,153722.09864944036,7686.1049324720225,146035.99371696834,5943.1578947368425,140092.8358222315,66277.90135055964,-346.1560201610763,7183.630732538955,0.6703006498671369,0.9045746301109802,temperature,0.0,4.829153736006363e-07,3.265304262413856e-05
1805.0,0.5978322762074089,8.18307538578937,13.868584421670525,220000.0,154988.89179395555,7749.444589697785,147239.44720425777,5943.1578947368425,141296.28930952091,65011.108206044446,-348.8608927254869,7297.786451377621,0.6760588005240233,0.8991614907010538,temperature,0.0,4.942444614030518e-07,3.314728708554161e-05
1810.0,0.6003064362305555,8.309049993638709,13.949659172585788,220000.0,156268.8629727746,7813.443148638733,148455.41982413587,5943.1578947368425,142512.261929399,63731.1370272254,-351.59116118398737,7413.5767629149,0.6818768513368373,0.8937060528724248,temperature,0.0,5.059002140050432e-07,3.365318729954665e-05
