time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
100.0,0.3929409958317821,45.16009294919668,44.871513456844255,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.26859021795,-3.2741809263825417e-11,strategy_none,7.508008851689448e-08,1.5263006492221361e-06
105.0,0.3925989563963047,45.16718079840951,44.86831120611291,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.3458848123,-5.4569682106375694e-11,strategy_none,7.432199797539737e-08,1.6006226471975334e-06
110.0,0.3922603969513575,45.17411622878955,44.865320656263364,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.491028788914,-4.729372449219227e-11,strategy_none,7.344508977236146e-08,1.674067736969895e-06
115.0,0.3919257503164262,45.18088885781649,44.86253413492604,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.65263716886,-5.4569682106375694e-11,strategy_none,7.246035632185007e-08,1.746528093291745e-06
120.0,0.39159540613941474,45.18748968097,44.85994392966161,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.02018118957,-1.0550138540565968e-10,strategy_none,7.138000367694049e-08,1.8179080969686854e-06
125.0,0.39126970662330607,45.19391118085167,44.8575423163963,16650.0,220000.0,16650.0,0.0,0.0,16649.99999999993,-6.912159733474255e-11,strategy_none,7.02172597982818e-08,1.8881253567669672e-06
130.0,0.39094894277973213,45.20014741451736,44.85532158941836,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.188936304734,7.275957614183426e-11,strategy_none,6.898617333834863e-08,1.957111530105316e-06
135.0,0.3906333512501961,45.20619407844642,44.85327409246615,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812366,9.094947017729282e-12,strategy_none,6.770140773890587e-08,2.0248129378442215e-06
140.0,0.39032311172915957,45.212048551027685,44.851392250436476,15861.361565207952,220000.0,15861.361565207952,0.0,0.0,15861.361565207912,-4.001776687800884e-11,strategy_none,6.637803524775005e-08,2.0911909730919714e-06
145.0,0.39001834501633437,45.21770991287056,44.84966860125013,15582.226850822664,220000.0,15582.226850822664,0.0,0.0,15582.226850822619,-4.547473508864641e-11,strategy_none,6.503133510864024e-08,2.1562223082006115e-06
150.0,0.3897191117183876,45.22317894564055,44.848095827427606,15300.0,220000.0,15300.0,0.0,0.0,15300.000000000047,4.729372449219227e-11,strategy_none,6.367659969023437e-08,2.219898907890846e-06
155.0,0.38942541161296745,45.22845811046122,44.846666786951864,15017.773149177336,220000.0,15017.773149177336,0.0,0.0,15017.77314917724,-9.640643838793039e-11,strategy_none,6.232895172615347e-08,2.2822278596169994e-06
160.0,0.38913718368057754,45.23355150721103,44.84537454302504,14738.63843479205,220000.0,14738.63843479205,0.0,0.0,14738.63843479188,-1.709850039333105e-10,strategy_none,6.10031751734273e-08,2.3432310347904266e-06
165.0,0.388854306802449,45.23846481626745,44.84421239236108,14465.654115187644,220000.0,14465.654115187644,0.0,0.0,14465.654115187575,-6.912159733474255e-11,strategy_none,5.971356149657094e-08,2.4029445962869975e-06
170.0,0.3885766011152741,45.24320522441014,44.843173891695386,14201.811063695339,220000.0,14201.811063695339,0.0,0.0,14201.811063695215,-1.2369127944111824e-10,strategy_none,5.847377248518437e-08,2.461418368772182e-06
175.0,0.388303830006542,45.24778133668894,44.8422528822334,13950.0,220000.0,13950.0,0.0,0.0,13949.999999999884,-1.1641532182693481e-10,strategy_none,5.7296720047450214e-08,2.518715088819632e-06
180.0,0.38803570272733945,45.252203076094055,44.84144351180261,13712.979818810323,220000.0,13712.979818810323,0.0,0.0,13712.979818810436,1.127773430198431e-10,strategy_none,5.619446281921958e-08,2.574909551638852e-06
185.0,0.3877718775929096,45.256481572840116,44.84074025451407,13493.347362831084,220000.0,13493.347362831084,0.0,0.0,13493.347362831182,9.822542779147625e-11,strategy_none,5.517811891178298e-08,2.630087670550635e-06
190.0,0.3875119657350684,45.26062904500007,44.84013792778017,13293.508971211035,220000.0,13293.508971211035,0.0,0.0,13293.508971210927,-1.0732037480920553e-10,strategy_none,5.4257793707311685e-08,2.6843454642579466e-06
195.0,0.38725553536481333,45.26465867210829,44.83963170657339,13115.654115187643,220000.0,13115.654115187643,0.0,0.0,13115.654115187624,-1.8189894035458565e-11,strategy_none,5.3442521308571754e-08,2.7377879855665183e-06
200.0,0.3870021164981771,45.26858446320523,44.83921713484567,12961.731409782014,220000.0,12961.731409782014,0.0,0.0,12961.731409781994,-2.000888343900442e-11,strategy_none,5.274021806105236e-08,2.7905282036275707e-06
205.0,0.3867512060936233,45.27242112062983,44.8388901340592,12833.427264364978,220000.0,12833.427264364978,0.0,0.0,12833.42726436491,-6.912159733474255e-11,strategy_none,5.215764648686188e-08,2.8426858501144325e-06
210.0,0.38650227354508754,45.27618390069204,44.83864700880682,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.147406002978,-1.0732037480920553e-10,strategy_none,5.170038799112078e-08,2.8943862381055535e-06
215.0,0.38625476647117396,45.279888472187956,44.83848444952304,12659.001478018725,220000.0,12659.001478018725,0.0,0.0,12659.001478018552,-1.7280399333685637e-10,strategy_none,5.137282281014574e-08,2.9457590609156993e-06
220.0,0.3860081167380425,45.28355077356415,44.83839953230616,12614.79088250566,220000.0,12614.79088250566,0.0,0.0,12614.790882505646,-1.4551915228366852e-11,strategy_none,5.117811585122843e-08,2.9969371767669276e-06
225.0,0.3857617466511939,45.28718686940587,44.8383897158876,12600.0,220000.0,12600.0,0.0,0.0,12600.00000000002,2.000888343900442e-11,strategy_none,5.111820731074696e-08,3.0480553840776746e-06
230.0,0.3855150752496897,45.29081280682278,44.83845283579712,12614.79088250566,220000.0,12614.79088250566,0.0,0.0,12614.790882505567,-9.276845958083868e-11,strategy_none,5.1193807235960704e-08,3.0992491913136353e-06
235.0,0.3852675246353427,45.29444447224214,44.83858709578327,12659.001478018725,220000.0,12659.001478018725,0.0,0.0,12659.001478018761,3.637978807091713e-11,strategy_none,5.1404393502831386e-08,3.150653584816467e-06
240.0,0.385018526269089,45.2980974490959,44.838791056557056,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.14740600303,-5.4569682106375694e-11,strategy_none,5.174821300611806e-08,3.2024017978225847e-06
245.0,0.38476752716710233,45.30178687690605,44.83906362193523,12833.427264364977,220000.0,12833.427264364977,0.0,0.0,12833.427264365058,8.185452315956354e-11,strategy_none,5.2222286188543096e-08,3.2546240840111277e-06
250.0,0.3845139959302338,45.305527312330945,44.839404022467924,12961.731409782014,220000.0,12961.731409782014,0.0,0.0,12961.73140978205,3.637978807091713e-11,strategy_none,5.282241536315838e-08,3.307446499374286e-06
255.0,0.3842574285420467,45.30933259282956,44.83981179664485,13115.65411518764,220000.0,13115.65411518764,0.0,0.0,13115.654115187599,-4.18367562815547e-11,strategy_none,5.354319759709072e-08,3.360989696971377e-06
260.0,0.3839973538730541,45.313215703725874,44.84028676978525,13293.508971211035,220000.0,13293.508971211035,0.0,0.0,13293.508971210993,-4.18367562815547e-11,strategy_none,5.437804321386255e-08,3.4153677401852396e-06
265.0,0.3837333388317361,45.31718864960288,44.84082903073025,13493.347362831084,220000.0,13493.347362831084,0.0,0.0,13493.347362831097,1.2732925824820995e-11,strategy_none,5.5319201222402756e-08,3.4706869414076423e-06
270.0,0.38346499310649784,45.32126233111667,44.84143890647214,13712.979818810321,220000.0,13712.979818810321,0.0,0.0,13712.97981881042,9.822542779147625e-11,strategy_none,5.6357793178664545e-08,3.5270447345863066e-06
